Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;16036;"Administrative Science Quarterly";journal;"00018392, 19303815";"Johnson School at Cornell University";No;No;16,555;Q1;218;31;90;3489;1223;85;11,36;112,55;35,09;5;11;United States;Northern America;"Johnson School at Cornell University";"1975-1987, 1989-1990, 1993-1994, 1996-2025";"Arts and Humanities (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences"
2;15646;"Annual Review of Political Science";book series;"10942939, 15451577";"Annual Reviews Inc.";No;No;8,346;Q1;138;26;74;2989;1075;74;10,20;114,96;39,58;22;14;United States;Northern America;"Annual Reviews Inc.";"1998-2024";"Sociology and Political Science (Q1)";"Social Sciences"
3;15557;"American Political Science Review";journal;"15375943, 00030554";"Cambridge University Press";No;No;7,734;Q1;215;105;268;7432;1933;258;6,09;70,78;31,96;0;36;United Kingdom;Western Europe;"Cambridge University Press";"1906-2025";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
4;16929;"American Sociological Review";journal;"00031224, 19398271";"American Sociological Association";No;No;7,412;Q1;240;37;126;3821;1515;119;7,45;103,27;37,88;8;18;United States;Northern America;"American Sociological Association";"1965-2025";"Sociology and Political Science (Q1)";"Social Sciences"
5;144974;"Journal of Service Research";journal;"10946705, 15527379";"SAGE Publications Inc.";No;No;4,981;Q1;156;39;95;3172;1357;85;14,61;81,33;46,22;7;6;United States;Northern America;"SAGE Publications Inc.";"1998-2025";"Information Systems (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Computer Science; Social Sciences"
6;15555;"American Journal of Political Science";journal;"00925853, 15405907";"Wiley-Blackwell Publishing Ltd";No;No;4,963;Q1;215;62;182;3336;1033;182;4,74;53,81;29,84;25;20;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1982, 1986, 1996-2025";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
7;145558;"Political Analysis";journal;"10471987, 14764989";"Cambridge University Press";No;No;4,815;Q1;89;39;106;1369;724;105;5,13;35,10;13,95;12;4;United Kingdom;Western Europe;"Cambridge University Press";"1989-1993, 2004-2025";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
8;39139;"International Organization";journal;"15315088, 00208183";"Cambridge University Press";No;No;4,798;Q1;168;33;110;2627;849;109;7,83;79,61;38,46;0;14;United Kingdom;Western Europe;"Cambridge University Press";"1947-2025";"Law (Q1); Organizational Behavior and Human Resource Management (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Social Sciences"
9;21149;"Leadership Quarterly";journal;"10489843";"Elsevier Inc.";No;No;4,331;Q1;202;47;141;5732;1299;134;6,57;121,96;38,00;7;10;United States;Northern America;"Elsevier Inc.";"1990-2025";"Applied Psychology (Q1); Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Psychology; Social Sciences"
10;16976;"Annual Review of Sociology";book series;"03600572, 15452115";"Annual Reviews Inc.";No;No;4,196;Q1;216;25;92;3862;1125;59;11,06;154,48;50,00;9;15;United States;Northern America;"Annual Reviews Inc.";"1975, 1977, 1980-1981, 1985-2024";"Sociology and Political Science (Q1)";"Social Sciences"
